C-A10KJE-0;C-MMW-0;C-PCM2-0;F-PROD4;F-PROD1;F-PROD2;F-PROD3
A10KJE-202501;MMW-3;KJPC2-96;1879,8;0,0;0,0;0,0
A10KJE-202501;MMW-1;KJPC2-06;:;:;:;:
A10KJE-202501;MMW-1;KJPC2-07;:;:;:;:
A10KJE-202501;MMW-1;KJPC2-51;:;0,0;0,0;0,0
A10KJE-202501;MMW-1;KJPC2-59;:;0,0;0,0;0,0
A10KJE-202501;MMW-1;KJPC2-64;:;0,0;0,0;0,0
A10KJE-202501;MMW-1;KJPC2-69;:;0,0;0,0;0,0
A10KJE-202501;MMW-1;KJPC2-79;:;0,0;0,0;0,0
A10KJE-202501;MMW-2;KJPC2-06;:;:;:;:
A10KJE-202501;MMW-2;KJPC2-07;:;:;:;:
A10KJE-202501;MMW-2;KJPC2-51;:;0,0;0,0;0,0
A10KJE-202501;MMW-2;KJPC2-59;:;0,0;0,0;0,0
A10KJE-202501;MMW-2;KJPC2-64;:;0,0;0,0;0,0
A10KJE-202501;MMW-2;KJPC2-69;:;0,0;0,0;0,0
A10KJE-202501;MMW-2;KJPC2-79;:;0,0;0,0;0,0
A10KJE-202502;MMW-3;KJPC2-06;:;:;:;:
A10KJE-202502;MMW-3;KJPC2-07;:;:;:;:
A10KJE-202502;MMW-3;KJPC2-08;64418,8;67245,8;67245,8;67355,3
A10KJE-202502;MMW-3;KJPC2-09;4899,4;4899,4;4899,4;4899,4
A10KJE-202502;MMW-3;KJPC2-10;1604418,3;1620232,9;1620232,9;1617160,2
A10KJE-202502;MMW-3;KJPC2-11;810170,8;235142,0;235142,0;810343,5
A10KJE-202502;MMW-3;KJPC2-13;107891,8;89283,2;89390,7;99701,6
A10KJE-202502;MMW-3;KJPC2-14;41206,0;13784,2;13784,2;43390,0
A10KJE-202502;MMW-3;KJPC2-15;50555,2;16827,8;16827,8;43085,8
A10KJE-202502;MMW-3;KJPC2-16;749591,7;753655,4;753655,4;759890,8
A10KJE-202502;MMW-3;KJPC2-17;544856,4;563667,6;597557,4;563171,7
A10KJE-202502;MMW-3;KJPC2-18;117006,8;100791,4;100791,4;99908,7
A10KJE-202502;MMW-3;KJPC2-19;396851,0;556271,5;556271,5;556271,5
A10KJE-202502;MMW-3;KJPC2-20;772060,5;696464,9;733572,5;776869,3
A10KJE-202502;MMW-3;KJPC2-21;505316,5;569715,5;570871,1;499028,5
A10KJE-202502;MMW-3;KJPC2-22;578321,6;583120,9;583120,9;581502,3
A10KJE-202502;MMW-3;KJPC2-23;383017,2;389938,9;389938,9;389325,7
A10KJE-202502;MMW-3;KJPC2-24;1790079,2;1737336,9;2208228,4;1731773,6
A10KJE-202502;MMW-3;KJPC2-25;1281357,5;1151791,4;1151791,4;1120869,6
A10KJE-202502;MMW-3;KJPC2-26;759239,5;686280,4;686280,4;750027,7
A10KJE-202502;MMW-3;KJPC2-27;861773,5;837642,2;837642,2;853329,8
A10KJE-202502;MMW-3;KJPC2-28;1787450,8;1771598,3;1771598,3;1794477,3
A10KJE-202502;MMW-3;KJPC2-29;1199844,6;1188608,8;1188608,8;1179022,2
A10KJE-202502;MMW-3;KJPC2-30;423185,7;391971,1;391971,1;406133,9
A10KJE-202502;MMW-3;KJPC2-31;205903,5;207868,7;207868,7;207021,6
A10KJE-202502;MMW-3;KJPC2-32;235168,3;378040,9;378040,9;379893,9
A10KJE-202502;MMW-3;KJPC2-33;589567,6;0,0;0,0;0,0
A10KJE-202502;MMW-3;KJPC2-35;6032203,7;6056184,5;6056184,5;6056184,5
A10KJE-202502;MMW-3;KJPC2-36;49635,3;51253,3;51253,3;51253,3
A10KJE-202502;MMW-3;KJPC2-37;55372,9;55372,9;55372,9;55372,9
A10KJE-202502;MMW-3;KJPC2-38;421209,8;416480,4;416480,4;416252,6
A10KJE-202502;MMW-3;KJPC2-39;2532,0;2532,0;2532,0;2532,0
A10KJE-202502;MMW-3;KJPC2-41;946205,4;856629,4;856629,4;945674,5
A10KJE-202502;MMW-3;KJPC2-42;473126,0;466632,2;466632,2;473538,3
A10KJE-202502;MMW-3;KJPC2-43;1537618,9;248844,0;248844,0;252038,2
A10KJE-202502;MMW-3;KJPC2-44;476100,1;316471,3;316471,3;316619,0
A10KJE-202502;MMW-3;KJPC2-46;1149381,5;0,0;0,0;0,0
A10KJE-202502;MMW-3;KJPC2-47;234671,9;0,0;0,0;0,0
A10KJE-202502;MMW-3;KJPC2-49;22478,3;0,0;0,0;0,0
A10KJE-202502;MMW-3;KJPC2-52;18457,1;0,0;0,0;0,0
A10KJE-202502;MMW-3;KJPC2-53;18,9;0,0;0,0;0,0
A10KJE-202502;MMW-3;KJPC2-55;967,0;0,0;0,0;0,0
A10KJE-202502;MMW-3;KJPC2-56;14496,1;0,0;0,0;0,0
A10KJE-202502;MMW-3;KJPC2-58;2155,7;0,0;0,0;0,0
A10KJE-202502;MMW-3;KJPC2-59;:;0,0;0,0;0,0
A10KJE-202502;MMW-3;KJPC2-61;9116,8;0,0;0,0;0,0
A10KJE-202502;MMW-3;KJPC2-62;18785,7;0,0;0,0;0,0
A10KJE-202502;MMW-3;KJPC2-63;7720,9;0,0;0,0;0,0
A10KJE-202502;MMW-3;KJPC2-64;:;0,0;0,0;0,0
A10KJE-202502;MMW-3;KJPC2-66;:;0,0;0,0;0,0
A10KJE-202502;MMW-3;KJPC2-68;27563,5;0,0;0,0;0,0
A10KJE-202502;MMW-3;KJPC2-69;:;0,0;0,0;0,0
A10KJE-202502;MMW-3;KJPC2-70;38960,1;0,0;0,0;0,0
A10KJE-202502;MMW-3;KJPC2-71;10697,4;0,0;0,0;0,0
A10KJE-202502;MMW-3;KJPC2-72;39978,9;0,0;0,0;0,0
A10KJE-202502;MMW-3;KJPC2-73;272,6;0,0;0,0;0,0
A10KJE-202502;MMW-3;KJPC2-74;16319,8;0,0;0,0;0,0
A10KJE-202502;MMW-3;KJPC2-77;58868,0;0,0;0,0;0,0
A10KJE-202502;MMW-3;KJPC2-78;17740,0;0,0;0,0;0,0
A10KJE-202502;MMW-3;KJPC2-79;:;0,0;0,0;0,0
A10KJE-202502;MMW-3;KJPC2-81;13445,3;0,0;0,0;0,0
A10KJE-202502;MMW-3;KJPC2-82;26911,1;0,0;0,0;0,0
A10KJE-202502;MMW-3;KJPC2-85;391,4;0,0;0,0;0,0
A10KJE-202502;MMW-3;KJPC2-86;501,1;0,0;0,0;0,0
A10KJE-202502;MMW-3;KJPC2-93;779,4;0,0;0,0;0,0
A10KJE-202502;MMW-3;KJPC2-95;11323,5;0,0;0,0;0,0
A10KJE-202502;MMW-3;KJPC2-96;2147,1;0,0;0,0;0,0
A10KJE-202502;MMW-1;KJPC2-06;:;:;:;:
A10KJE-202502;MMW-1;KJPC2-07;:;:;:;:
A10KJE-202502;MMW-1;KJPC2-59;:;0,0;0,0;0,0
A10KJE-202502;MMW-1;KJPC2-64;:;0,0;0,0;0,0
A10KJE-202502;MMW-1;KJPC2-66;:;0,0;0,0;0,0
A10KJE-202502;MMW-1;KJPC2-69;:;0,0;0,0;0,0
A10KJE-202502;MMW-1;KJPC2-79;:;0,0;0,0;0,0
A10KJE-202502;MMW-2;KJPC2-06;:;:;:;:
A10KJE-202502;MMW-2;KJPC2-07;:;:;:;:
A10KJE-202502;MMW-2;KJPC2-59;:;0,0;0,0;0,0
A10KJE-202502;MMW-2;KJPC2-64;:;0,0;0,0;0,0
A10KJE-202502;MMW-2;KJPC2-66;:;0,0;0,0;0,0
A10KJE-202502;MMW-2;KJPC2-69;:;0,0;0,0;0,0
A10KJE-202502;MMW-2;KJPC2-79;:;0,0;0,0;0,0
A10KJE-202503;MMW-3;KJPC2-06;:;:;:;:
A10KJE-202503;MMW-3;KJPC2-07;:;:;:;:
A10KJE-202503;MMW-3;KJPC2-08;86943,0;92823,7;92823,7;92948,8
A10KJE-202503;MMW-3;KJPC2-09;5128,5;5128,5;5128,5;5128,5
A10KJE-202503;MMW-3;KJPC2-10;1717216,4;1726294,0;1726294,0;1724423,4
A10KJE-202503;MMW-3;KJPC2-11;878642,9;277187,2;277187,2;880603,3
A10KJE-202503;MMW-3;KJPC2-13;124139,7;108132,6;108214,2;118602,4
A10KJE-202503;MMW-3;KJPC2-14;44449,3;14238,4;14238,4;42378,4
A10KJE-202503;MMW-3;KJPC2-15;42222,2;16512,6;16512,6;46051,0
A10KJE-202503;MMW-3;KJPC2-16;835861,7;849992,1;849992,1;857612,9
A10KJE-202503;MMW-3;KJPC2-17;587242,7;615580,2;652587,2;615065,3
A10KJE-202503;MMW-3;KJPC2-18;129199,3;113943,5;113943,5;113208,3
A10KJE-202503;MMW-3;KJPC2-19;436090,4;589108,1;589108,1;589108,1
A10KJE-202503;MMW-3;KJPC2-20;834606,2;738858,8;780028,9;816914,8
A10KJE-202503;MMW-3;KJPC2-21;577209,8;653489,1;656073,7;570528,5
A10KJE-202503;MMW-3;KJPC2-22;634416,5;647323,4;647323,4;645696,2
A10KJE-202503;MMW-3;KJPC2-23;497391,9;503665,3;503665,3;503270,6
A10KJE-202503;MMW-3;KJPC2-24;1903827,4;1865547,6;2449144,9;1858922,7
A10KJE-202503;MMW-3;KJPC2-25;1444883,4;1396986,1;1396986,1;1360593,4
A10KJE-202503;MMW-3;KJPC2-26;834554,1;732481,4;732481,4;823702,7
A10KJE-202503;MMW-3;KJPC2-27;1040385,8;1015443,7;1015443,7;1031808,5
A10KJE-202503;MMW-3;KJPC2-28;2062048,7;2068099,2;2068099,2;2056108,2
A10KJE-202503;MMW-3;KJPC2-29;1200720,1;1238820,0;1238820,0;1235991,4
A10KJE-202503;MMW-3;KJPC2-30;442993,4;407339,0;407339,0;426117,3
A10KJE-202503;MMW-3;KJPC2-31;224344,9;219544,0;219544,0;220695,4
A10KJE-202503;MMW-3;KJPC2-32;276747,1;322675,0;322675,0;323726,8
A10KJE-202503;MMW-3;KJPC2-33;742604,2;0,0;0,0;0,0
A10KJE-202503;MMW-3;KJPC2-35;5594276,7;5617458,4;5617458,4;5617458,4
A10KJE-202503;MMW-3;KJPC2-36;54878,8;56896,6;56896,6;56896,6
A10KJE-202503;MMW-3;KJPC2-37;71007,4;71007,4;71007,4;71007,4
A10KJE-202503;MMW-3;KJPC2-38;434847,7;429532,9;429532,9;428497,0
A10KJE-202503;MMW-3;KJPC2-39;3651,8;3651,8;3651,8;3651,8
A10KJE-202503;MMW-3;KJPC2-41;1102892,0;989830,5;989830,5;1100956,3
A10KJE-202503;MMW-3;KJPC2-42;773383,5;764409,0;764409,0;772595,6
A10KJE-202503;MMW-3;KJPC2-43;1996235,3;321902,1;321902,1;324184,0
A10KJE-202503;MMW-3;KJPC2-44;609602,6;396387,4;396387,4;396523,6
A10KJE-202503;MMW-3;KJPC2-46;1248943,2;0,0;0,0;0,0
A10KJE-202503;MMW-3;KJPC2-47;245263,5;0,0;0,0;0,0
A10KJE-202503;MMW-3;KJPC2-49;28734,6;0,0;0,0;0,0
A10KJE-202503;MMW-3;KJPC2-51;:;0,0;0,0;0,0
A10KJE-202503;MMW-3;KJPC2-52;19126,9;0,0;0,0;0,0
A10KJE-202503;MMW-3;KJPC2-53;10,4;0,0;0,0;0,0
A10KJE-202503;MMW-3;KJPC2-55;298,9;0,0;0,0;0,0
A10KJE-202503;MMW-3;KJPC2-56;16000,1;0,0;0,0;0,0
A10KJE-202503;MMW-3;KJPC2-58;2223,9;0,0;0,0;0,0
A10KJE-202503;MMW-3;KJPC2-59;:;0,0;0,0;0,0
A10KJE-202503;MMW-3;KJPC2-61;13175,7;0,0;0,0;0,0
A10KJE-202503;MMW-3;KJPC2-62;27087,3;0,0;0,0;0,0
A10KJE-202503;MMW-3;KJPC2-63;8627,5;0,0;0,0;0,0
A10KJE-202503;MMW-3;KJPC2-64;:;0,0;0,0;0,0
A10KJE-202503;MMW-3;KJPC2-68;28079,8;0,0;0,0;0,0
A10KJE-202503;MMW-3;KJPC2-69;:;0,0;0,0;0,0
A10KJE-202503;MMW-3;KJPC2-70;66966,7;0,0;0,0;0,0
A10KJE-202503;MMW-3;KJPC2-71;17854,4;0,0;0,0;0,0
A10KJE-202503;MMW-3;KJPC2-72;141236,8;0,0;0,0;0,0
A10KJE-202503;MMW-3;KJPC2-73;515,6;0,0;0,0;0,0
A10KJE-202503;MMW-3;KJPC2-74;13910,8;0,0;0,0;0,0
A10KJE-202503;MMW-3;KJPC2-77;46252,1;0,0;0,0;0,0
A10KJE-202503;MMW-3;KJPC2-78;26937,9;0,0;0,0;0,0
A10KJE-202503;MMW-3;KJPC2-79;:;0,0;0,0;0,0
A10KJE-202503;MMW-3;KJPC2-81;10606,8;0,0;0,0;0,0
